case,stem,mapping,pred_path,gt_path,shape,lumen_dice,lumen_iou,lumen_precision,lumen_recall,vessel_wall_dice,vessel_wall_iou,vessel_wall_precision,vessel_wall_recall
075,075_VL1,identity,sample_output/075/075_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/075/075_VL1_label_hwf.npy,512x512x350,0.7076539085001016,0.5475730635582282,0.669349271311093,0.7506087563108131,0.29359227057025933,0.17205282507034475,0.7876368991049056,0.1804224377166497
076,076_VL1,identity,sample_output/076/076_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/076/076_VL1_label_hwf.npy,512x512x351,0.7816987191725064,0.6416300561069441,0.7286757819046564,0.8430437759987273,0.490362607385584,0.3248214503592586,0.6542861859084371,0.39212130439610854
077,077_VL1,identity,sample_output/077/077_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/077/077_VL1_label_hwf.npy,512x512x501,0.7546882329534073,0.6060235299496459,0.6450821436412013,0.9091646566799854,0.39124504485005696,0.24319741399869765,0.9019806151173939,0.24979925187123223
078,078_VL1,identity,sample_output/078/078_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/078/078_VL1_label_hwf.npy,512x512x331,0.7763335631975263,0.6344323418938747,0.7335943777793136,0.8243607973715704,0.3969347015067194,0.24760981469675494,0.8567518569758892,0.2583036205466241
079,079_VL1,identity,sample_output/079/079_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/079/079_VL1_label_hwf.npy,512x512x450,0.5734594253734671,0.40199307021014685,0.5097191879726274,0.655419436863225,0.33543876885114576,0.20151783098999076,0.7319758517601703,0.2175722324486908
080,080_VL1,identity,sample_output/080/080_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/080/080_VL1_label_hwf.npy,512x512x501,0.8244090110276964,0.7012719719367626,0.7606944595624252,0.899772518284258,0.217929933035037,0.12229032801510024,0.9344287622652477,0.12334883651802976
081,081_VL1,identity,sample_output/081/081_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/081/081_VL1_label_hwf.npy,512x512x401,0.9104342879626844,0.8355937396931447,0.8882135184855897,0.933795396309174,0.4786546918509487,0.3146259361941341,0.6666730221608606,0.3733583697381094
082,082_VL1,identity,sample_output/082/082_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/082/082_VL1_label_hwf.npy,512x512x125,0.7645478165506427,0.618840475408802,0.7861652567401678,0.7440874046612383,0.21628771032965768,0.12125706123246537,0.2679775458102606,0.181314244728412
083,083_VL1,identity,sample_output/083/083_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/083/083_VL1_label_hwf.npy,512x512x370,0.7077601463956285,0.5477002929614909,0.6005504619882168,0.8615660861829402,0.3271821020471565,0.19558739923069599,0.9027684596293323,0.1997962051089525
084,084_VL1,identity,sample_output/084/084_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/084/084_VL1_label_hwf.npy,512x512x401,0.7284555295626547,0.5728903286505612,0.6512798705444368,0.8263803216661789,0.2368863731086276,0.13435683866064432,0.8230667590630399,0.13835280778823333
085,085_VL1,identity,sample_output/085/085_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/085/085_VL1_label_hwf.npy,512x512x401,0.7440431170327658,0.5924113535449901,0.6987028848396433,0.7956761382214005,0.3842116956410168,0.2377859120557514,0.5805891696377772,0.2871026075120228
086,086_VL1,identity,sample_output/086/086_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/086/086_VL1_label_hwf.npy,512x512x301,0.634200219247158,0.46434347712193996,0.5365384022149552,0.7753267861796536,0.24947424952048994,0.14251389872565604,0.7256066268259239,0.1506318493884092
087,087_VL1,identity,sample_output/087/087_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/087/087_VL1_label_hwf.npy,512x512x351,0.7248176697923274,0.5684031629220314,0.6383038181235063,0.8384601283064831,0.3860306346773389,0.23918089337474166,0.7021350665464345,0.2661904648070581
088,088_VL1,identity,sample_output/088/088_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/088/088_VL1_label_hwf.npy,512x512x391,0.8165218161160378,0.689933982083523,0.7114992703263924,0.9579175141731943,0.293443729366053,0.17195080784359096,0.977478083920314,0.1726347679843445
089,089_VL1,identity,sample_output/089/089_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/089/089_VL1_label_hwf.npy,512x512x401,0.8777328676994749,0.7821068998966568,0.8409605036517249,0.9178681432130074,0.3361157998623209,0.2020067260897776,0.3267281558758408,0.3460588589711387
090,090_VL1,identity,sample_output/090/090_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/090/090_VL1_label_hwf.npy,512x512x200,0.7734128067917213,0.6305404222986968,0.6604002801130082,0.9330899915895711,0.4165826887094367,0.2630909020250014,0.8663093457239869,0.2742246228407408
091,091_VL1,identity,sample_output/091/091_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/091/091_VL1_label_hwf.npy,512x512x401,0.7591206677323294,0.6117602638647054,0.7480699446920277,0.7705027755618632,0.2703471213856301,0.15630137395094326,0.7337437769214505,0.165699455591994
092,092_VL1,identity,sample_output/092/092_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/092/092_VL1_label_hwf.npy,512x512x351,0.6498584907123321,0.4813262063583219,0.6174404900696017,0.6858692652557776,0.3591903023672469,0.21891039703474566,0.6239189503968218,0.252187297689807
093,093_VL1,identity,sample_output/093/093_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/093/093_VL1_label_hwf.npy,512x512x301,0.8017790561280502,0.6691412466361746,0.7294872895768861,0.8899750683047083,0.33290486105081385,0.19969157924643252,0.900372592920198,0.20420369155822693
094,094_VL1,identity,sample_output/094/094_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/094/094_VL1_label_hwf.npy,512x512x350,0.7510956421245994,0.6014036522399052,0.6991817124109405,0.8113370559811705,0.4594720465869603,0.29825622155638265,0.7973388969958369,0.32272117689997665
095,095_VL1,identity,sample_output/095/095_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/095/095_VL1_label_hwf.npy,512x512x301,0.6206687131598668,0.4499779850435621,0.5936099495641518,0.6503121565001921,0.32349712519123036,0.19295948134185578,0.7741452185653712,0.2044702157050987
096,096_VL1,identity,sample_output/096/096_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/096/096_VL1_label_hwf.npy,512x512x301,0.8314932804486047,0.7115862207175203,0.7885129968517167,0.8794292279492374,0.2888508846777289,0.1688052093714392,0.6720264611610034,0.1839604463487949
097,097_VL1,identity,sample_output/097/097_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/097/097_VL1_label_hwf.npy,512x512x350,0.7427836405563314,0.59081607948931,0.6661530714277486,0.8393362452376489,0.3887043300188466,0.2412371219388885,0.42068486209802475,0.3612426078386507
